PLAYER,TEAM,AGE,GP,W ,MIN,PTS,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,plus/minus
Nazr Mohammed,OKC,38,5,5,3.9,1.6,0.6,1,0,0,0.4,0.4,0.2,0.6,0,0.6,0,0,0.8,2,0,0,-0.6
Nick Collison,OKC,35,59,39,11.9,2.1,0.8,1.8,0,0,0.4,0.6,1.2,1.7,0.9,0.8,0.3,0.3,1.8,7.6,0,0,0.4
Randy Foye,OKC,32,81,37,20.3,5.9,2.1,6,0.9,3.1,0.8,0.9,0.3,1.6,2,1.1,0.5,0.4,1.6,12.6,0,0,0.3
Russell Westbrook,OKC,27,80,55,34.4,23.5,8.2,18.1,1.3,4.3,5.8,7.2,1.8,6,10.4,4.3,2,0.3,2.5,51.1,54,18,7.9
Serge Ibaka,OKC,26,78,54,32.1,12.6,5.3,11.1,0.8,2.4,1.2,1.6,1.8,5,0.8,1.4,0.5,1.9,2.7,27.8,9,0,6.8
Steven Adams,OKC,22,80,54,25.2,8,3.3,5.3,0,0,1.4,2.5,2.7,3.9,0.8,1.1,0.5,1.1,2.8,21,6,0,6
Arron Afflalo,NYK,30,71,27,33.4,12.8,5,11.3,1.3,3.4,1.5,1.8,0.3,3.4,2,1.2,0.4,0.1,2,20.7,1,0,-2.1
Carmelo Anthony,NYK,32,72,32,35.1,21.8,7.9,18.2,1.5,4.3,4.6,5.6,1.4,6.4,4.2,2.4,0.9,0.5,2.5,39.1,22,0,-0.6
Cleanthony Early,NYK,25,17,6,9,1.8,0.7,2.4,0.2,0.9,0.2,0.2,0.2,1.3,0.4,0.5,0.1,0.2,0.9,4.5,0,0,0
Derrick Williams,NYK,25,80,32,17.9,9.3,3.2,7.1,0.6,1.9,2.4,3.2,0.6,3.1,0.9,0.8,0.4,0.1,0.9,15.8,4,0,-2.6
Jerian Grant,NYK,23,76,29,16.6,5.6,2,5.1,0.3,1.3,1.3,1.6,0.3,1.6,2.3,1.1,0.7,0.1,1.3,12.6,0,0,-2.2
Jose Calderon,NYK,34,72,29,28.1,7.6,2.9,6.3,1.2,2.8,0.6,0.7,0.3,2.9,4.1,1.2,0.9,0.1,1.9,19.3,1,0,-1
Kevin Seraphin,NYK,26,48,15,11,3.9,1.8,4.3,0,0,0.4,0.5,0.6,2,1,0.9,0.2,0.8,1.4,10.4,0,0,-1.8
Kristaps Porzingis,NYK,20,72,28,28.4,14.3,5.2,12.3,1.1,3.4,2.8,3.3,1.8,5.5,1.3,1.7,0.7,1.9,2.8,31.1,21,0,0.2
Kyle O'Quinn,NYK,26,65,26,11.8,4.8,2,4.2,0.1,0.3,0.7,0.9,1.2,2.7,1.1,0.9,0.3,0.8,1.6,13.3,1,0,-0.9
Lance Thomas,NYK,28,59,25,22.3,8.2,2.9,6.5,0.7,1.8,1.7,2,0.6,1.6,0.9,1,0.4,0.1,1.8,12.7,0,0,-0.7
Langston Galloway,NYK,24,82,32,24.8,7.6,2.8,7.2,0.9,2.7,1,1.4,0.5,3,2.5,0.7,0.9,0.3,2.2,18.5,1,0,-1.3
Lou Amundson,NYK,33,29,11,7,1.8,0.7,1.8,0,0,0.5,0.9,0.8,0.9,0.4,0.5,0.2,0.2,1.5,5.3,0,0,-1.6
Robin Lopez,NYK,28,82,32,27.1,10.3,4.4,8.1,0,0,1.6,2,3.3,4.1,1.4,1.6,0.2,1.6,2.2,24.8,15,0,-1.2
Sasha Vujacic,NYK,32,61,22,14.9,4.9,1.7,4.5,0.9,2.3,0.5,0.6,0.4,2,1.4,0.7,0.6,0.1,1.4,11,0,0,-0.7
Thanasis Antetokounmpo,NYK,23,2,1,3.1,3,1.5,2,0,0.5,0,0,0,0.5,0,0,0,0,1,3.6,0,0,-3
Tony Wroten,NYK,23,8,0,18,8.4,2.8,8.1,0.4,2.1,2.5,4.6,0.3,2.4,2.5,3.6,0.4,0,1.4,12.8,0,0,-8.5
Alexis Ajinca,NOP,28,59,20,14.6,6,2.5,5.3,0,0,0.9,1.1,1.3,3.3,0.5,0.9,0.3,0.6,2.3,14.1,4,0,-1.1
Alonzo Gee,NOP,29,73,27,22.4,4.5,1.8,3.5,0.2,0.8,0.6,0.9,0.8,2.5,1,0.8,0.9,0.2,2.3,12.3,0,0,-2.7
Anthony Davis,NOP,23,61,24,35.5,24.3,9.2,18.6,0.6,1.8,5.3,7,2.1,8.1,1.9,2,1.3,2,2.4,47.5,36,0,-3.3
Bryce Dejean-Jones,NOP,23,14,8,19.9,5.6,2,4.9,0.9,2.3,0.8,1.5,0.6,2.9,1.1,0.8,0.7,0.1,1.2,13.2,0,0,-2.8
Dante Cunningham,NOP,29,80,28,24.6,6.1,2.3,5.2,0.7,2.2,0.7,1,0.7,2.2,1,0.5,0.5,0.4,2.2,13.3,0,0,-3.5
Eric Gordon,NOP,27,45,14,32.9,15.2,5.1,12.3,2.5,6.5,2.5,2.8,0.2,2,2.7,1.6,1,0.3,2.2,24.1,0,0,-1.6
James Ennis III,NOP,25,22,11,14.9,7.2,2.5,5.1,1.2,2.6,1.1,1.5,1,1,1,0.9,0.7,0.2,1.3,13,0,0,-2
Jordan Hamilton,NOP,25,11,4,27.6,11.4,4.5,10.5,1.2,4.1,1.3,1.9,1.1,4.5,2.3,1.5,0.7,0.3,2.2,23,1,0,-5.8
Jrue Holiday,NOP,26,65,27,28.2,16.8,6.3,14.4,1.3,4,2.8,3.3,0.4,2.6,6,2.6,1.4,0.3,2.3,31.9,5,0,0.4
Kendrick Perkins,NOP,31,37,13,14.6,2.5,1.1,2,0,0,0.3,0.7,0.7,2.8,0.8,1.1,0.3,0.3,1.7,8.5,0,0,-2.1
Luke Babbitt,NOP,27,47,16,18,7,2.6,6.1,0.9,2.3,0.8,1.1,0.5,2.6,1.1,0.5,0.2,0.1,1.9,13.1,1,0,-0.6
Nate Robinson,NOP,32,2,0,11.6,0,0,0.5,0,0.5,0,0,0,0,2,0,0.5,0,2.5,4.5,0,0,-10
Norris Cole,NOP,27,45,20,26.6,10.6,4.4,10.8,0.7,2.3,1.2,1.4,0.2,3.1,3.7,1.7,0.8,0.1,2.3,21.3,2,0,-2.3
Omer Asik,NOP,29,68,29,17.3,4,1.5,2.9,0,0,0.9,1.6,1.8,4.3,0.4,0.9,0.3,0.3,1.8,12.9,2,0,-3
Orlando Johnson,NOP,27,7,1,14.5,3.7,1.3,4.9,0.3,1.4,0.9,1.1,0.6,1.6,0.3,0.6,0.4,0.4,1.3,8.7,0,0,-5.3
Ryan Anderson,NOP,28,66,24,30.4,17,6,14.1,2,5.4,3,3.5,2,4,1.1,1.4,0.6,0.4,1.7,27.4,8,0,0.5
Tim Frazier,NOP,25,51,25,14.5,5.1,1.9,4.5,0.3,0.9,1,1.5,0.5,1.6,3.2,1.3,0.6,0,1.4,13.3,2,0,-0.6
Toney Douglas,NOP,30,61,22,20.7,8.7,3,7.3,1.3,3.3,1.4,1.6,0.4,1.9,2.6,1,1.1,0.1,2.1,18,1,0,-2.3
Tyreke Evans,NOP,26,25,11,30.6,15.2,5.4,12.6,1.3,3.4,3,3.7,0.8,4.4,6.6,2.9,1.3,0.3,2.6,33.1,6,0,-0.6
Adreian Payne,MIN,25,52,18,9.3,2.5,1,2.8,0.2,0.6,0.3,0.5,0.4,1.8,0.6,0.7,0.3,0.2,1.5,6.8,0,0,-2.3
Andrew Wiggins,MIN,21,81,29,35.1,20.7,7.3,16,0.7,2.3,5.3,7,1.3,2.3,2,2.2,1,0.6,2,30.4,1,0,-0.8
Damjan Rudez,MIN,30,33,9,8.4,2.3,0.8,1.9,0.5,1.5,0.2,0.2,0.2,0.5,0.3,0.4,0.1,0,1,3.5,0,0,-0.4
Gorgui Dieng,MIN,26,82,29,27.1,10.1,3.8,7.1,0.1,0.2,2.5,3,1.9,5.2,1.7,1.7,1.1,1.2,2.7,26.5,15,0,-0.1
Greg Smith,MIN,25,18,8,10.7,2.4,1,1.8,0,0,0.4,0.9,0.7,1.7,0.3,0.4,0.2,0.1,1.6,6.1,0,0,-4.3
Karl-Anthony Towns,MIN,20,82,29,32,18.3,7.6,14.1,0.4,1.1,2.7,3.4,2.8,7.7,2,2.2,0.7,1.7,3,38.8,52,0,-1.6
Kevin Garnett,MIN,40,38,14,14.6,3.2,1.4,3,0,0,0.4,0.6,0.4,3.6,1.6,0.4,0.7,0.3,1.8,13,0,0,1.5
Nemanja Bjelica,MIN,28,60,20,17.9,5.1,1.8,3.9,0.8,2.1,0.7,0.9,0.8,2.7,1.4,0.8,0.4,0.4,2.6,13,3,0,-2.1
Nikola Pekovic,MIN,30,12,2,13,4.5,1.6,4.2,0,0,1.3,1.7,0.6,1.2,0.9,0.8,0.1,0,1.8,7.5,0,0,-5.3
Ricky Rubio,MIN,25,76,28,30.6,10.1,2.9,7.7,0.8,2.5,3.5,4.1,0.5,3.8,8.7,2.5,2.1,0.1,2.6,32.5,14,0,0.2
Shabazz Muhammad,MIN,23,82,29,20.5,10.5,3.9,8.3,0.5,1.9,2.3,3,1.2,2,0.6,0.9,0.3,0.1,1.1,15.7,0,0,-3.3
Tayshaun Prince,MIN,36,77,27,19,2.9,1.3,3,0.1,0.3,0.2,0.2,0.4,1.5,1,0.4,0.5,0.2,0.8,8.2,0,0,-1.7
Tyus Jones,MIN,20,37,13,15.5,4.2,1.5,4.2,0.4,1.4,0.8,1.1,0.2,1.1,2.9,0.9,0.8,0.1,0.9,12,0,0,-3.6
Zach Levine,MIN,21,82,29,28,14,5.3,11.7,1.5,3.9,2,2.5,0.3,2.5,3.1,1.9,0.8,0.2,2.4,23.2,0,0,-3.6
Chris Copeland,MIL,32,24,10,6.5,2.1,0.7,2.1,0.4,1.5,0.3,0.3,0,0.4,0.5,0.3,0.1,0,0.7,3.3,0,0,-3.3
Damien Inglis,MIL,21,20,5,7.8,1.8,0.7,1.9,0.2,0.7,0.4,0.4,0.1,1.5,0.5,0.6,0.3,0.2,0.6,5.2,0,0,-2.2
Giannis Antetokounmpo,MIL,21,80,32,35.3,16.9,6.4,12.7,0.4,1.4,3.7,5.1,1.4,6.2,4.3,2.6,1.2,1.4,3.2,37.7,21,5,-2.1
Greg Monroe,MIL,26,79,32,29.3,15.3,6.2,11.9,0,0,2.9,3.9,2.8,6.1,2.3,1.6,0.9,0.8,2.1,32.9,32,0,-1.4
Greivis Vasquez,MIL,29,23,9,20,5.7,2,6,0.8,3.2,1,1.1,0.2,1.8,4,1.7,0.4,0,1.8,13.6,0,0,-4.1
Jabari Parker,MIL,21,76,32,31.7,14.1,5.8,11.8,0.1,0.5,2.3,3,1.6,3.6,1.7,1.5,0.9,0.4,2,25.2,6,0,-2.5
Jerryd Bayless,MIL,27,52,21,28.9,10.4,3.6,8.4,1.9,4.4,1.3,1.7,0.4,2.3,3.1,1.4,0.9,0.2,2.1,20.3,1,0,-3.6
John Henson,MIL,25,57,22,16.8,7,2.9,5.1,0,0,1.2,2.1,1.5,2.4,0.9,1.1,0.3,1.9,2.3,18.6,3,0,-2.6
Johnny O'Bryant III,MIL,23,66,27,13,3,1.3,3.2,0,0,0.4,0.6,1,1.7,0.5,0.5,0.3,0.1,1.5,7.7,0,0,-2
Khris Middleton,MIL,24,79,33,36.1,18.2,6.4,14.5,1.8,4.6,3.5,3.9,0.6,3.3,4.2,2.3,1.7,0.2,2.6,32.4,1,0,-0.4
Michael Carter-Williams,MIL,24,54,21,30.5,11.5,4.6,10.3,0.3,1,2,3,0.9,4.2,5.2,2.8,1.5,0.8,3,29.4,6,0,-2.4
Miles Plumlee,MIL,27,61,23,14.3,5.1,2.3,3.8,0,0,0.6,1,1.5,2.3,0.3,0.7,0.3,0.8,1.2,12.9,0,0,-1.7
O.J. Mayo,MIL,28,41,17,26.6,7.8,2.9,7.8,1.3,4,0.8,1,0.3,2.2,2.9,1.8,1.2,0.2,3.1,17.6,0,0,-1.4
Rashad Vaughn,MIL,19,70,30,14.3,3.1,1.2,3.8,0.6,2.1,0.2,0.2,0.2,1.1,0.6,0.4,0.4,0.2,1,7,0,0,-2.1
Steve Novak,MIL,33,10,8,4.4,2.4,0.8,1.8,0.7,1.5,0.1,0.1,0,0.5,0,0.1,0,0,0.3,2.9,0,0,0.7
Tyler Ennis,MIL,21,46,17,14.2,4.5,1.8,4.1,0.3,0.8,0.5,0.7,0.3,1.3,2.1,1,0.5,0,1.4,10.2,0,0,-1.5
Amar'e Stoudemire,MIA,33,52,30,14.7,5.8,2.4,4.3,0,0,1,1.3,1.3,3,0.5,0.9,0.3,0.8,1.8,14.2,2,0,0.2
Briante Weber,MIA,23,7,3,24.1,4.4,2,5.6,0,0.7,0.4,0.6,1.1,2.4,3,1.3,1.3,0.4,1.7,17.1,0,0,-9.6
Chris Bosh,MIA,32,53,29,33.5,19.1,6.8,14.5,1.5,4.2,4,5.1,0.9,6.5,2.4,1.5,0.7,0.6,1.9,34,15,0,0.5
Dwyane Wade,MIA,34,74,43,30.5,19,7.3,16,0.1,0.6,4.4,5.5,1.1,3,4.6,2.7,1.1,0.6,1.6,33.1,2,0,-0.1
Gerald Green,MIA,30,69,40,22.6,8.9,3.3,8.5,1.2,3.8,1,1.3,0.4,2,0.8,0.7,0.6,0.3,1.8,14.8,0,0,0.6
Goran Dragic,MIA,30,72,44,32.8,14.1,5.8,12.2,0.9,2.8,1.7,2.3,0.8,3.1,5.8,2.6,1,0.2,2.6,28.6,5,0,2.8
Hassan Whiteside,MIA,27,73,42,29.1,14.2,5.7,9.3,0,0,2.9,4.5,3.3,8.6,0.4,1.9,0.6,3.7,2.8,40,41,3,1.2
Joe Johnson,MIA,35,81,31,33.4,12.2,4.7,10.6,1.5,3.9,1.5,1.8,0.6,3,3.9,2,0.8,0,1.8,22.9,3,0,-0.7
Josh McRoberts,MIA,29,42,27,14.2,3.6,1.3,3.5,0.3,1.2,0.7,1,0.5,2,1.9,0.7,0.4,0.2,1.6,10.5,1,0,0.1
Josh Richardson,MIA,22,52,29,21.3,6.6,2.4,5.2,1,2.2,0.8,1.2,0.4,1.7,1.4,0.7,0.7,0.5,2.1,14,0,0,0.8
Justise Winslow,MIA,20,78,46,28.6,6.4,2.5,5.9,0.4,1.5,1,1.5,1,4.1,1.5,1.2,0.9,0.3,2.4,17.3,0,0,1.4
Luol Deng,MIA,31,74,45,32.4,12.3,4.6,10.1,1.2,3.5,2,2.6,1.5,4.5,1.9,1.1,1,0.4,1.6,25.4,13,0,0.3
Mario Chalmers,MIA,30,61,38,22.5,10.3,3,7.3,0.8,2.4,3.6,4.3,0.4,2.2,3.8,1.8,1.4,0.2,3,22.2,0,0,1.2
Tyler Johnson,MIA,24,36,19,24,8.7,3.3,6.8,0.8,2,1.4,1.8,0.8,2.3,2.2,1.3,0.7,0.4,1.8,17.5,0,0,0.3
Udonis Haslem,MIA,36,37,25,7,1.6,0.6,1.6,0,0.2,0.3,0.4,0.3,1.8,0.4,0.1,0.1,0.1,0.7,5,0,0,-0.4
Alex Stephenson,MEM,28,8,2,9,2.8,1.1,3.4,0,0,0.5,1.5,2.4,1.1,0.3,0,0.1,0.6,1.5,9.6,1,0,-0.3
Beno Udrih,MEM,33,44,26,16.1,4.7,2,4.5,0.3,1,0.4,0.5,0.2,1.5,2.6,1.2,0.3,0,1.2,10.4,1,0,-0.5
Brandon Wright,MEM,28,12,6,17.7,6.9,2.9,4.3,0,0,1.1,2,1.2,2.4,0.5,0.8,0.4,1.3,1.8,16.1,0,0,-4.7
Bryce Cotton,MEM,23,8,1,4.8,1,0.5,1.3,0,0.4,0,0,0,0,0.4,0.6,0.4,0,0.3,2.1,0,0,-3
Chris Andersen,MEM,37,27,11,14.9,3.9,1.4,2.7,0.1,0.5,0.9,1.3,1.3,2.3,0.4,0.3,0.6,0.5,1.1,11.7,0,0,-2.6
JaMychal Green,MEM,26,78,39,18.5,7.4,2.9,6.3,0.2,0.6,1.3,1.8,1.8,3,0.9,1.1,0.6,0.4,2.4,16.4,7,0,-0.6
Jarell Martin,MEM,22,27,10,14.1,5.7,2,4.3,0,0.1,1.7,2.3,1.4,1.7,0.6,0.7,0.3,0.3,2.1,11.3,0,0,-1.4
Jarnell Stokes,MEM,22,7,1,2.7,1,0.4,0.7,0,0,0.1,0.3,0.1,0.4,0.1,0,0.1,0,0.1,2.3,0,0,1.3
Jordan Adams,MEM,21,2,0,7.3,3.5,1,3,0,0.5,1.5,2.5,0,1,1.5,1,1.5,0,1,10.5,0,0,2
Jordan Farmar,MEM,29,12,2,24.3,9.2,3.5,8.3,1.3,3.8,0.8,0.8,0.3,1.8,3.1,1.5,1.3,0.2,1.8,19,0,0,-5.3
Lance Stephenson,MEM,25,69,36,19.9,8.3,3.3,6.9,0.4,1.1,1.3,1.6,0.6,2.7,1.9,1.4,0.6,0.1,2,16,1,0,-0.9
Marc Gasol,MEM,31,52,30,34.4,16.6,6.3,13.6,0,0.1,3.9,4.7,1.1,5.8,3.8,2.3,1,1.3,2.7,35.2,9,1,0.2
Matt Barnes,MEM,36,76,38,28.8,10,3.5,9.1,1.6,4.9,1.5,1.8,1.1,4.4,2.1,1.6,1,0.8,3.1,23.6,7,1,-2.8
Mike Conley,MEM,28,56,33,31.4,15.3,5.3,12.4,1.4,3.8,3.4,4.1,0.5,2.5,6.1,1.5,1.2,0.3,1.8,30.9,4,0,1.2
PJ Hairston,MEM,23,66,31,19.9,6.2,2.2,6.2,1.1,3.7,0.8,1,0.4,2.3,0.6,0.6,0.5,0.2,2.1,11.6,1,0,-2.9
Russ Smith,MEM,25,15,6,4.4,1.5,0.5,1.5,0.1,0.3,0.5,0.9,0.1,0.5,0.7,0.5,0.3,0.1,0.3,4.1,0,0,-2.7
Ryan Hollins,MEM,31,37,18,12.4,3.4,1.3,2.1,0,0,0.7,1.1,1.3,1.4,0.3,0.6,0.2,0.6,1.7,8.5,0,0,-4
Tony Allen,MEM,34,64,34,25.3,8.4,3.4,7.3,0.2,0.7,1.4,2.2,1.6,3,1.1,1.2,1.7,0.3,2.7,20.3,1,0,-1.4
Vince Carter,MEM,39,60,33,16.8,6.6,2.2,5.7,1,2.8,1.2,1.4,0.5,1.9,0.9,0.6,0.6,0.3,1.7,13,0,0,-0.6
Xavier Munford,MEM,24,14,3,17.4,5.7,2.3,5.5,0.6,1.6,0.5,1,0.2,2,1.6,1.1,0.9,0.2,1.8,13.1,0,0,-1.8
Zach Randolph,MEM,34,68,37,29.7,15.3,6.3,13.3,0.1,0.4,2.5,3.2,2.6,5.1,2.1,1.5,0.6,0.2,2.1,28.7,17,1,-0.2
Anthony Brown,LAL,23,29,4,20.6,4,1.3,4.3,0.7,2.4,0.6,0.7,0.3,2.1,0.7,0.5,0.5,0.2,1.2,9.3,0,0,-1.2
Brandon Bass,LAL,31,66,16,20.3,7.2,2.6,4.8,0,0,1.9,2.2,1.6,2.7,1.1,0.6,0.5,0.8,1.9,17.4,0,0,-0.3
D'Angelo Russell,LAL,20,80,17,28.2,13.2,4.9,12,1.6,4.6,1.8,2.4,0.6,2.8,3.3,2.5,1.2,0.2,1.8,23.8,1,0,-6.8
Jordan Clarkson,LAL,24,79,17,32.3,15.5,6,13.9,1.4,4.1,2.1,2.6,1.2,2.8,2.4,1.7,1.1,0.1,2.1,25.8,1,0,-7.9
Julius Randle,LAL,21,81,17,28.2,11.3,4.4,10.3,0.1,0.4,2.4,3.3,2.1,8.1,1.8,1.8,0.7,0.4,3,27.5,34,1,-8.4
Kobe Bryant,LAL,37,66,13,28.2,17.6,6,16.9,2,7.1,3.5,4.3,0.6,3.1,2.8,2,0.9,0.2,1.7,27.7,2,0,-8.6
Larry Nance Jr.,LAL,23,63,14,20.1,5.5,2.5,4.8,0,0.2,0.5,0.7,1.6,3.3,0.7,0.7,0.9,0.4,2,15.5,3,0,-1.5
Lou Williams,LAL,29,67,14,28.5,15.3,4.2,10.3,1.6,4.8,5.3,6.3,0.5,2.1,2.5,1.6,0.9,0.3,1.6,24.1,0,0,-6
Marcelo Huertas,LAL,33,53,8,16.4,4.5,1.8,4.3,0.3,1.2,0.5,0.5,0.3,1.4,3.4,1.5,0.5,0.1,1.4,12,0,0,0.4
Metta World Peace,LAL,36,35,6,16.9,5,1.6,5.1,0.7,2.4,1.1,1.6,0.5,2,0.8,0.4,0.6,0.3,1.9,11.6,0,0,-1.9
Nick Young,LAL,31,54,13,19.1,7.3,2.3,6.9,1.4,4.4,1.2,1.4,0.3,1.5,0.6,0.6,0.4,0.1,0.9,11.5,0,0,-3.7
Robert Sacre,LAL,27,25,2,12.8,3.5,1.2,3,0,0,1,1.5,1.3,1.6,0.6,0.5,0.2,0.4,1.7,9,0,0,-1.3
Roy Hibbert,LAL,29,81,17,23.2,5.9,2.2,5.1,0,0,1.4,1.8,1.6,3.3,1.2,0.9,0.4,1.4,3.1,17.9,3,0,-8.4
Ryan Kelly,LAL,25,36,3,13.1,4.2,1.5,4.1,0.1,1,1,1.5,0.6,2.8,0.6,0.5,0.4,0.3,1.1,10.5,0,0,0
Tarik Black,LAL,24,39,6,12.7,3.4,1.5,2.7,0,0,0.5,1.2,1.1,2.9,0.4,0.6,0.4,0.5,2,10.8,0,0,0.5
Austin Rivers,LAC,23,67,42,21.8,8.9,3.4,7.7,0.9,2.8,1.2,1.7,0.3,1.6,1.5,0.9,0.7,0.1,2,15,0,0,-2.4
Blake Griffin,LAC,27,35,22,33.4,21.4,8.6,17.2,0.2,0.5,4,5.5,1.5,6.9,4.9,2.4,0.8,0.5,2.7,40.3,13,0,5.1
Branden Dawson,LAC,23,6,5,4.8,0.8,0.3,0.8,0,0,0.2,0.2,0.3,0.3,0,0,0,0.2,0.3,2.1,0,0,-2.5
C.J. Wilcox,LAC,25,23,15,7.3,3,1.1,2.9,0.4,1,0.4,0.5,0,0.5,0.4,0.1,0.4,0.1,0.7,5.8,0,0,1
Chris Paul,LAC,31,74,50,32.7,19.5,7,15.1,1.6,4.4,4,4.4,0.5,3.7,10,2.6,2.1,0.2,2.5,43.6,38,0,7.5
Chuck Hayes,LAC,33,2,1,11.9,2,0.5,1,0,0,1,1,0,4,1,1.5,0,0,2,6.8,0,0,-1.5
Cole Aldrich,LAC,27,60,41,13.3,5.5,2.2,3.8,0,0,1,1.4,1.4,3.4,0.8,1.1,0.8,1.1,2.3,17.2,3,0,-0.4
DeAndre Jordan,LAC,27,77,51,33.7,12.7,4.6,6.6,0,0,3.5,8,3.5,10.3,1.2,1.4,0.7,2.3,2.7,38.5,49,0,5.7
JJ Redick,LAC,32,75,50,28,16.3,5.6,11.7,2.7,5.6,2.4,2.7,0.1,1.7,1.4,1,0.6,0.1,1.8,21.5,0,0,6.8
Jamal Crawford,LAC,36,79,51,26.9,14.2,4.8,11.9,1.5,4.4,3.1,3.4,0.3,1.6,2.3,1.4,0.7,0.2,1.5,20.9,0,0,2.1
Jeff Ayres,LAC,29,17,11,6.3,1.8,0.7,1.4,0,0.1,0.4,0.4,0.2,1.1,0.3,0.4,0,0.2,1.1,3.9,0,0,-2.7
Jeff Green,LAC,29,80,48,28.2,11.7,4.4,10.3,0.8,2.7,2.1,2.8,0.9,3.2,1.7,1.2,0.7,0.5,2.1,21.8,1,0,-0.5
Luc Mbah a Moute,LAC,29,75,49,17,3.1,1.3,2.8,0.2,0.5,0.4,0.8,0.8,1.5,0.4,0.5,0.6,0.3,1.3,8.5,0,0,2.1
Pablo Prigioni,LAC,39,59,37,13.9,2.5,0.9,2.5,0.5,1.6,0.1,0.1,0.6,1.3,2.2,0.8,0.9,0,1.4,10,0,0,-1.1
Paul Pierce,LAC,38,68,44,18.1,6.1,2.1,5.8,1.1,3.6,0.8,1,0.2,2.6,1,0.9,0.5,0.3,1.9,12.3,0,0,0.8
Wesley Johnson,LAC,28,80,51,20.8,6.9,2.6,6.4,1.3,3.9,0.4,0.6,0.5,2.6,0.6,0.7,1.1,0.7,2.2,16.3,0,0,1.5
CJ Miles,IND,29,64,34,22.9,11.8,4,9.9,2.2,6,1.5,1.9,0.4,2.3,1,1.1,0.8,0.5,2.2,19.3,0,0,0
George Hill,IND,30,74,41,34.1,12.1,4.4,10,1.7,4.2,1.5,2,0.8,3.2,3.5,1.4,1.1,0.2,2,24.9,0,0,1.3
Glenn Robinson III,IND,22,45,24,11.3,3.8,1.4,3.4,0.3,0.8,0.6,0.9,0.3,1.2,0.6,0.4,0.4,0.2,0.5,7.8,0,0,-0.8
Ian Mahinmi,IND,29,71,41,25.6,9.3,3.7,6.3,0,0,1.9,3.2,1.9,5.2,1.5,1.4,0.9,1.1,3.1,24.6,9,0,1.6
Joe Young,IND,24,41,19,9.4,3.8,1.5,4.1,0.2,1.1,0.5,0.6,0.1,1.1,1.6,0.8,0.4,0,0.7,7.9,0,0,-0.8
Jordan Hill,IND,28,73,40,20.7,8.8,3.8,7.5,0,0,1.2,1.7,2.1,4,1.2,1.3,0.5,0.5,2.1,19.8,9,0,0.7
Lavoy Allen,IND,27,79,43,20.2,5.4,2.4,4.7,0,0,0.6,0.9,2.1,3.3,1,0.9,0.3,0.5,1.9,15,4,0,2.4
Monta Ellis,IND,30,81,44,33.8,13.8,5.4,12.6,1.1,3.5,2,2.5,0.5,2.8,4.7,2.5,1.9,0.5,2.1,29.4,1,0,1.3
Myles Turner,IND,20,60,32,22.8,10.3,4.4,8.8,0.1,0.2,1.5,2,1.1,4.4,0.7,1.1,0.4,1.4,2.6,22.4,4,0,-1.2
Paul George,IND,26,81,44,34.8,23.1,7.5,17.9,2.6,7,5.6,6.5,1,6,4.1,3.3,1.9,0.4,2.8,41,15,0,2.2
Rakeem Christmas,IND,24,1,1,6.1,4,2,2,0,0,0,0,1,0,0,0,0,0,1,5.2,0,0,-10
Rodney Stuckey,IND,30,58,33,22,8.9,3.2,7.6,0.3,1.4,2.3,2.7,0.3,2.4,2.4,1.3,0.7,0.1,1.3,17.1,0,0,0.2
Shayne Whittington,IND,25,7,4,5.8,1.6,0.7,1.6,0,0.3,0.1,0.3,0.7,1,0.4,0.7,0.1,0.1,1,4.4,0,0,-0.9
Solomon Hill,IND,25,59,31,14.7,4.2,1.6,3.5,0.4,1.3,0.6,0.7,0.7,2.2,1,0.6,0.6,0.2,1.2,10.9,1,0,0.8
Ty Lawson,IND,28,66,31,21.4,5.7,2.1,5.4,0.5,1.6,0.9,1.3,0.4,1.4,3.6,1.4,0.8,0.1,1.3,14.5,1,0,-2.4
Andrew Goudelock,HOU,27,8,5,6.2,2.8,1.1,2.5,0.1,1.1,0.4,0.5,0.1,0.1,0.5,0.9,0.8,0.3,0.5,5.9,0,0,1.3
Clint Capela,HOU,22,77,39,19.1,7,3,5.2,0,0,1,2.7,2.5,3.9,0.6,0.8,0.8,1.2,2.5,20.8,10,0,1.3
Corey Brewer,HOU,30,82,41,20.4,7.2,2.6,6.7,0.7,2.7,1.3,1.7,0.5,1.9,1.3,1,1,0.2,2,14.9,0,0,-1.1
Donatas Motiejunas,HOU,25,37,19,14.8,6.2,2.4,5.5,0.4,1.5,0.9,1.4,1,1.9,1.1,1.2,0.5,0.1,1.9,12,0,0,1.2
Dwight Howard,HOU,30,71,34,32.1,13.7,5.2,8.5,0,0.1,3.3,6.7,3.4,8.4,1.4,2.3,1,1.6,3.1,35.3,38,0,0.3
James Harden,HOU,26,82,41,38.1,29,8.7,19.7,2.9,8,8.8,10.2,0.8,5.3,7.5,4.6,1.7,0.6,2.8,49.9,23,3,1.5
Jason Terry,HOU,38,72,37,17.5,5.9,2.1,5.2,1.3,3.6,0.4,0.5,0.2,0.9,1.4,0.7,0.7,0.1,1.3,11,0,0,0.4
Josh Smith,HOU,30,55,31,16,6,2.3,6.3,0.7,2.6,0.7,1.2,0.9,2.6,1.6,1.4,0.6,0.9,2.1,15.7,0,0,-1.4
