PLAYER,TEAM,AGE,GP,W ,MIN,PTS,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,plus/minus
Cory Joseph,TOR,24,80,54,25.6,8.5,3.2,7.3,0.4,1.4,1.7,2.2,0.5,2.1,3.1,1.3,0.8,0.3,1.6,18.1,0,0,3.4
DeMar DeRozan,TOR,26,78,53,35.9,23.5,7.9,17.7,0.6,1.8,7.1,8.4,0.8,3.7,4,2.2,1,0.3,2.1,36.6,3,0,2.2
DeMarre Carroll,TOR,29,26,16,30.2,11,4,10.4,1.8,4.5,1.2,1.9,1.2,3.5,1,1.1,1.7,0.2,2.4,22.9,0,0,1.7
Delon Wright,TOR,24,27,19,8.5,3.8,1.3,3,0.2,0.5,1,1.3,0.3,1.1,1.1,0.6,0.3,0.1,0.3,7.8,0,0,0.5
James Johnson,TOR,29,57,35,16.2,5,2,4.2,0.4,1.2,0.7,1.2,0.5,1.7,1.2,0.9,0.5,0.6,1.5,11.8,0,0,0.1
Jason Thompson,TOR,29,47,38,10,3.1,1.1,2.3,0.1,0.3,0.8,1.1,0.7,2.2,0.6,0.3,0.3,0.4,1.7,9.2,0,0,-0.1
Jonas Valanciunas,TOR,24,60,40,25.9,12.8,5.1,8.9,0,0,2.7,3.6,3.1,6.1,0.7,1.4,0.4,1.3,2.6,28.6,22,0,2.5
Kyle Lowry,TOR,30,77,54,37,21.2,6.6,15.6,2.8,7.1,5.2,6.4,0.7,4,6.4,2.9,2.1,0.4,2.7,41.1,12,1,4.9
Lucas Nogueira,TOR,23,29,17,7.7,2.2,1,1.5,0,0.1,0.3,0.5,0.6,1,0.2,0.4,0.4,0.4,1,6.6,0,0,0.8
Luis Scola,TOR,36,76,50,21.5,8.7,3.5,7.9,0.9,2.1,0.8,1.1,1.1,3.6,0.9,0.9,0.6,0.4,2.3,17.7,3,0,-0.3
Norman Powell,TOR,23,49,32,14.8,5.6,2,4.7,0.7,1.8,0.9,1.1,0.3,1.9,1,0.7,0.6,0.2,1.2,11.5,0,0,1.3
Patrick Patterson,TOR,27,79,54,25.6,6.9,2.6,6.2,1.3,3.7,0.4,0.4,1,3.4,1.2,0.8,0.7,0.4,1.6,16.3,0,0,5.1
Terrence Ross,TOR,25,73,53,23.9,9.9,3.7,8.6,1.8,4.6,0.7,0.8,0.3,2.2,0.8,0.6,0.7,0.3,1.6,16.7,1,0,3.3
Andre Miller,SAS,40,39,20,11.8,3.7,1.5,2.7,0.1,0.2,0.6,0.8,0.3,1,2.2,0.9,0.4,0,1.2,8.9,0,0,0.8
Boban Marjanovic,SAS,27,54,47,9.4,5.5,1.9,3.2,0,0,1.6,2.1,1.4,2.2,0.4,0.5,0.2,0.4,1,11.8,3,0,1
Boris Diaw,SAS,34,76,64,18.2,6.4,2.7,5,0.3,0.9,0.7,1,0.8,2.3,2.3,1.3,0.3,0.3,1.3,14.1,0,0,3.8
Danny Green,SAS,29,79,65,26.1,7.2,2.7,7.1,1.5,4.4,0.4,0.6,0.6,3.2,1.8,0.9,1,0.8,1.8,19,0,0,6.4
David West,SAS,35,78,63,18,7.1,3.1,5.7,0,0.1,0.8,1,0.9,3,1.8,0.9,0.6,0.7,1.8,17.5,1,0,4.2
Jimmer Fredette,SAS,27,6,1,2.9,1.5,0.3,0.8,0.2,0.3,0.7,0.8,0,0,0.2,0.3,0.2,0,0.3,1.9,0,0,-4.2
Jonathan Simmons,SAS,26,55,47,14.8,6,2.2,4.4,0.3,0.9,1.3,1.7,0.3,1.5,1.1,1,0.4,0.1,1.9,10.3,0,0,1.7
Kawhi Leonard,SAS,25,72,60,33,21.2,7.7,15.1,1.8,4,4.1,4.6,1.3,5.5,2.6,1.5,1.8,1,1.8,40.1,12,0,9.1
Kevin Martin,SAS,33,55,24,19.9,9.3,2.8,7.6,0.9,2.5,2.8,3.1,0.3,1.7,1.1,1,0.5,0.1,1.5,13.9,0,0,-2.2
